Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
Titanium (feat. Sia),David Guetta,Pop,2012,126,79,60,13,30,245,7,80
Locked Out of Heaven,Bruno Mars,Pop,2012,144,70,73,31,87,233,5,79
Paradise,Coldplay,Permanent Wave,2012,140,59,45,8,20,279,5,79
Payphone,Maroon 5,Pop,2012,110,75,74,29,55,231,2,79
What Makes You Beautiful,One Direction,Boy Band,2012,125,79,73,6,89,200,1,78
I Knew You Were Trouble.,Taylor Swift,Pop,2012,77,47,62,3,68,220,0,77
Call Me Maybe,Carly Rae Jepsen,Pop,2012,120,58,78,11,66,193,1,76
Love You Like A Love Song,Selena Gomez & The Scene,Pop,2012,117,68,86,7,92,188,8,76
Set Fire to the Rain,Adele,British Soul,2012,108,68,61,13,47,242,0,76
We Are Never Ever Getting Back Together,Taylor Swift,Pop,2012,86,68,63,12,75,193,1,75
Stronger (What Doesn't Kill You),Kelly Clarkson,Pop,2012,116,94,56,11,68,222,5,74
Try,P!nk,Pop,2012,104,63,67,9,55,248,0,74
Starships,Nicki Minaj,Pop,2012,125,72,75,25,75,211,14,73
One More Night,Maroon 5,Pop,2012,93,82,72,8,62,220,6,73
Good Time,Owl City,Pop,2012,126,87,56,37,68,206,2,73
Glad You Came,The Wanted,Boy Band,2012,127,85,72,11,45,198,3,72
Beauty And A Beat,Justin Bieber,Pop,2012,128,84,60,7,53,228,0,72
International Love,Pitbull,Pop,2012,120,86,67,34,65,227,1,72
Some Nights,fun.,Pop,2012,108,74,67,9,39,277,2,72
Boyfriend,Justin Bieber,Pop,2012,97,55,72,13,33,171,4,71
Part Of Me,Katy Perry,Pop,2012,130,92,68,7,77,216,0,71
Domino,Jessie J,Pop,2012,127,55,76,4,78,232,1,69
Where Have You Been,Rihanna,Pop,2012,128,85,72,22,44,243,0,68
Wide Awake,Katy Perry,Pop,2012,160,68,51,39,57,221,7,68
The One That Got Away,Katy Perry,Pop,2012,134,80,69,16,88,227,0,67
Dance Again,Jennifer Lopez,Pop,2012,128,86,79,10,71,237,2,66
Turn Up the Music,Chris Brown,Pop,2012,130,84,59,16,64,228,0,65
Lights - Single Version,Ellie Goulding,Pop,2012,120,80,68,13,78,211,3,65
We Are Young (feat. Janelle Monáe),fun.,Pop,2012,184,64,38,8,74,251,2,63
Diamonds,Rihanna,Pop,2012,92,71,56,11,39,225,0,61
Don't Stop the Party (feat. TJR),Pitbull,Pop,2012,127,96,72,38,95,206,1,59
You Da One,Rihanna,Pop,2012,127,72,70,13,86,200,50,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,Pop,2012,90,80,65,27,80,211,3,54
It Will Rain,Bruno Mars,Pop,2012,150,84,58,8,48,258,34,38
Underneath the Tree,Kelly Clarkson,Pop,2013,160,81,51,21,69,230,0,88
Wake Me Up,Avicii,Big Room,2013,124,78,53,16,64,247,0,85
Story of My Life,One Direction,Boy Band,2013,121,66,60,12,29,245,23,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,Pop,2013,95,55,78,13,44,243,35,81
Roar,Katy Perry,Pop,2013,180,77,55,35,46,224,0,78
We Can't Stop,Miley Cyrus,Pop,2013,80,62,61,37,48,231,1,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,Big Room,2013,129,84,61,12,44,213,11,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Electronic,2013,116,81,79,10,86,248,4,77
Wrecking Ball,Miley Cyrus,Pop,2013,120,42,53,11,35,221,41,77
Impossible,James Arthur,Pop,2013,170,70,38,11,30,209,14,77
Blurred Lines,Robin Thicke,Pop,2013,120,60,85,8,84,264,0,76
Heart Attack,Demi Lovato,Pop,2013,174,79,50,24,50,211,7,76
Die Young,Kesha,Pop,2013,128,70,71,22,80,212,0,75
Clarity,Zedd,Complextro,2013,128,78,51,7,18,271,4,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,Pop,2013,126,81,57,13,11,215,2,74
Under Control,Calvin Harris,Pop,2013,126,92,54,12,51,184,13,74
Everybody Talks,Neon Trees,Pop,2013,155,92,47,31,73,177,0,74
"Hold On, We're Going Home",Drake,Hip-Hop,2013,100,41,77,7,29,228,0,73
Best Song Ever,One Direction,Boy Band,2013,118,88,65,8,49,200,2,73
